text,class
"Hello, Does it matter iff I use Visa or Mastercard? Thanks",card
"Good afternoon, I just got refunded for my purchase over two weeks ago best Regards",card
"Hello, I got billed ann extra pound! Thanks",others
"Hi, How long does it take for a transfer to show up in my account? Thanks",transfer
"hi, When can I use money sent to my accountt? best Regards",transfer
"Hi, My card is about to expire.  Are there any costs with a replacement card?  How quick do you mail it to me? best Regards",card
"Good afternoon, The exchange rate that was applied for an international purchase was wrongg. best Regards",card
"hello, Myy app shows a payment I didn't make thanks",card
"Hello, There is a card payment that I'm not recognizing. Kind Regards",card
"good evening, Do you offer auto top ups? Kind Regards",others
"good afternoon, How do you decide what the exchangee rates are? Best Regards",others
"hi, I made a transfer and was charged extra. Why? best Regards",transfer
"Good afternoon, I made a payment and it appears it is showing twicee thanks",others
"Good evening, I recently bought something abroad but the exchange ratee is incorrect. Why? kind Regards",card
"hi, The ATM didn't give me thee full requested amount Thanks",cash
"good afternoon, What is the procedure for topping up with a cheque? best Regards",cash
"good evening, Will you accept my credit card, it my only one. thanks",card
"hi, My new card just arrived, how cann I activate it? Best Regards",card
"Good morning, How can II information on my limit for top-ups? Best Regards",others
"Good evening, Why hasn't my transfer gone through Kind Regards",transfer
"Good morning, I thought transfers were free. Whyy was I charged to transfer? best Regards",transfer
"hi, Do I pay extraa for exchange? best Regards",others
"hi, Are there any restrictions for the disposable cards that I need to be aware of? thanks",card
"hi, Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate? thanks",card
"good evening, What doess a transfer cost? Kind Regards",transfer
"Hi, Can you explain to me why a top upp would be reverted? Kind Regards",others
"Good morning, Do you support direct deposits from my employer? Thanks",others
"hi, The ATM wouldn't allow me to withdraw money Thanks",cash
"Hello, I was checking my statementt and I think one of my card payments has reverted Best Regards",card
"hi, I guess exchange rate for my payment was not correct, as i charged extra on the last saturday. best Regards",card
"Hi, I cannot get my google pay to work. Thanks",others
"good morning, I hatee this company! Can you delete my account? Best Regards",security
"good afternoon, I didn't receive my money earlier and it says the transaction is still in progress. Can you fixx it? Kind Regards",cash
"hello, I've made a transfer, how long until the money reaches my account? Thanks",transfer
"Good morning, I need urgent help. I realizee I sent my payment to the wrong account number. I made a typo. Please cancel the transfer now. There isn't an option from the app. thanks",transfer
"Hi, I am out of money in my account and I was wondering if I could do a bank transfer is put more in it? Thanks",transfer
"good evening, the exchange ratee for my withdrawal is wrong thanks",cash
"Good afternoon, My money's disappeared from my account! I topped up the other day and it was there, but now it's not. Help? kind Regards",others
"Hello, How long do cheques take to post to your account? Best Regards",cash
"Hello, In regards to my card payment, the exchange rate is incorrect. kind Regards",card
"hi, Are there limits on the virtual cards? best Regards",card
"good evening, What's the deal with verifying the top-up? kind Regards",others
"Hi, How old do my kids need too be too use your service? Thanks",others
"good afternoon, What is going on with my cash deposit. I'm looking at my account balance and it is not there. It has been almost a week. Someone better get back to me asap. Best Regards",cash
"Hello, Where do I access the auto top-up functionn? Best Regards",others
"Hi, The transfer keeps failing - I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, I have no idea why best Regards",transfer
"good afternoon, Am I going to be charged for receivingg  money? kind Regards",transfer
"Hi, Why is my transfer not working? I tried multiple times to transfer money, and all that happens is an error message pops up. kind Regards",others
"hello, I'm wondering how long it takes for my money to get to me after a bank transfer. Thanks",transfer
"hello, II logged in wrong and am blocked, how do II log in? thanks",security
"Good morning, The contactless payments are not working. best Regards",others
"Good afternoon, There is a €1 extra fee in my statement best Regards",others
"Good evening, I've never been to that store.  That's a fraudulent charge. Thanks",card
"good afternoon, I did not receive my purchase, how do I cancel it? Kind Regards",others
"Good afternoon, There is a direct debit patentp that I haven't authorized. Kind Regards",others
"good morning, I got less cash at thee ATM than I asked for. Why? best Regards",cash
"Good morning, A WD was just made on my account, but it was not me and I still have my card.  What to do? kind Regards",cash
"Good morning, I haven't received my pinn Best Regards",card
"Good morning, I need a list of currencies youu accept for exchange. Thanks",others
"hi, Why is my transfer nott showing Best Regards",transfer
"good evening, What wass the extra charge for withdrawing money? Kind Regards",cash
"good evening, There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out? Thanks",others
"Hello, Why does the same transaction appear multiple times? Kind Regards",others
"good afternoon, I did not charge my account for that trannsaction.  That's ann error. Best Regards",card
"Hello, I tried too withdraw some money from an ATM this morning but wasn't able too get the amount of cash I needed. The amount in the app says what I was trying too withdraw was deducted, but I don't have any money. What do I do about this? Best Regards",cash
"Good morning, Can I have a tangible form of myy virtual card. Best Regards",card
"good morning, How willl I know when I can use the auto top-up feature? best Regards",others
"Good evening, how long should i expect too wait when i add money Thanks",others
"hi, My card has been compromised. I see a bunch of online shopping charges that I didn't make. I need to freeze itt immediately. Thanks",card
"hello, Why can't I see my top up? Kind Regards",card
"good afternoon, I have used this account overseas recently. Has there been an increase in fees that I am unaware of? Thanks",transfer
"Hello, How fast can you fix an errorr in payment?  I made a payment in the wrong account yesterday and it needs to be adjusted by tomorrow for my rent. best Regards",transfer
"good evening, It looks like I wass charged twice for a single transaction Kind Regards",others
